Study ;Clinicaltrials.gov number;Journal;Tumor type;Setting;Arm 1;Arm 2;Arm 3;Arm 4;Arm 5;Arm 6;Recruitment start date;Recruitment stop date;Number of patients;Publication date;Initial protocol available;Outcome changed;Population changed;Arms for comparison changed;Any change;Primary endpoint (original) 1;Primary endpoint (original) 2;Primary endpoint (original) 3;Primary endpoint (original) 4;Primary endpoint (reported) 1;Primary endpoint (reported) 2;Primary endpoint (reported) 3;Primary endpoint (reported) 4;Primary endpoint (reported) 5;Primary endpoint (reported) 6;Trial registration discrepant with publication;Number of original primary endpoints;Number of final primary endpoints;Additional information and timing of changes in clinicaltrials.gov
CheckMate-017;NCT01642004;NEJM;NSCLC;2L;Nivolumab;Chemotherapy;;;;;October 2012 ;December 2013;272;July 9, 2015;Yes;Yes;No;N.a.;Yes;ORR in ITT;OS in ITT;;;OS in ITT;;;;;;Yes;2;1;ORR was changed from a primary endpoint to a secondary endpoint in April 2014 (after conclusion of recruitment). This is addressed in the publication.
CheckMate-9LA;NCT03215706;Lancet Oncol;NSCLC;1L;Nivolumab + ipilimumab + chemotherapy;Chemotherapy;;;;;August 24, 2017 ;January 30, 2019;719;January 18, 2021;No;No;No;N.a.;No;OS in ITT;;;;OS in ITT;;;;;;No;1;1;The original protocol was not included in the supplementary file, despite it being listed in the table of contents. 
CheckMate-026;NCT02041533;NEJM;NSCLC;1L;Nivolumab ;Chemotherapy;;;;;March 2014 ;April 2015;514;June 22, 2017;Yes;No;Yes;N.a.;Yes;PFS in ITT;;;;PFS in PD-L1 ≥5%;;;;;;Yes;1;1;The original protocol was not included in the supplementary file, despite it being listed in the table of contents. Because the original protocol is not available, it is impossible to verify the population of the primary endpoint, but the amendment in clinicaltrials.gov suggests that all ITT patients (PD-L1 ≥1 %) were the originally population. 
CheckMate-078;NCT02613507;J Thor Oncol;NSCLC;2L;Nivolumab;Docetaxel;;;;;December 2015 ;November 2016;504;January 16, 2019;No;No;No;N.a.;No;OS in ITT;;;;OS in ITT;;;;;;No;1;1;-
CheckMate-816;NCT02998528;NEJM;NSCLC;Neoadj.;Nivolumab + ipilimumab;Nivolumab + chemotherapy;Chemotherapy;;;;March 2017 ;November 2019;505;May 26, 2022;Yes;Yes;Yes;Yes;Yes;MPR in PD-L1+ (A vs C);;;;EFS in ITT (B vs C);pCR in ITT (B vs C);;;;;Yes;1;2;The nivolumab + chemotherapy arm was added in July 2017 (less than four months into recruitment). The outcome was changed in the same amendment, but it cannot be derived from the protocol versions whether the population was also changed at that time. Enrollment into the nivolumab + ipilimumab arm was stopped in September 2018. The added and terminated arms are mentioned in the publication. 
PACIFIC;NCT02125461;NEJM;NSCLC;2L;Durvalumab;Placebo;;;;;May 2014 ;April 2016 ;713;November 16, 2017;Yes;No;No;N.a.;No;PFS in ITT;OS in ITT;;;PFS in ITT;OS in ITT;;;;;No;2;2;-
IMpower-150;NCT02366143;NEJM;NSCLC;1L;Atezolizumab + CP;Bevacizumab + CP;Atezolizumab + bevacizumab + CP;;;;March 2015 ;December 2016;1202;June 14, 2018;Yes;Yes;Yes;No;Yes;PFS in ITT (A vs B);PFS in ITT (C vs B);PFS in PD-L1+ (A vs B);PFS in PD-L1+ (C vs B);PFS in tGE-WT (A vs B);PFS in tGE-WT (C vs B);PFS in ITT-WT (A vs B);PFS in ITT-WT (C vs B);OS in ITT-WT (A vs B);OS in ITT-WT (C vs B);Yes;4;6;The change in populations is explained in the publication, but the change in outcome (addition of OS) is not.  
IMpower-130;NCT02367781;Lancet Oncol;NSCLC;1L;Atezolizumab + chemotherapy;Chemotherapy;;;;;April 16, 2015 ;February 13, 2017;724;May 20, 2019;No;Yes;Yes;N.a.;Yes;PFS in ITT;;;;PFS in tGE-WT ;PFS in ITT -WT;OS in ITT-WT;;;;Yes;1;3;The last protocol version (in supplementary file), in which the tGE-WT population was added for the primary endpoint analysis, took place in March 2017 (after conclusion of patient recruitment). This primary endpoint was omitted in the publication. Based on the clinicaltrial.gov history of changes, it appears that a PD-L1 selected subpopulation was also added and later removed as population for both primary endpoints (PFS and OS), after conclusion of patient recruitment.
IMpower-010;NCT02486718;Lancet;NSCLC;Adj.;Adjuvant CT + atezolizumab;Adjuvant CT + best supportive care;;;;;October 7, 2015 ;September 19, 2018;1005;September 20, 2021;Yes;No;Yes;N.a.;Yes;DFS in stage II-IIIA;DFS in ITT;;;DFS in PD-L1>1% amd stage II-IIIA;DFS in stage II-IIIA;DFS in ITT;;;;Yes;2;3;The PD-L1 subpopulation for the primary analysis, which is the first in hierarchical testing order, was added in the last protocol amendment, dating from February 2020 (after conclusion of patient recruitment). The publication mentions a protocol amendment where the assay for PD-L1 expression was changed, but does not mention the amendment where this primary endpoint population was added. 
EMPOWER-Lung1;NCT03088540;Lancet;NSCLC;1L;Cemiplimab;Platinum-doublet chemotherapy;;;;;June 27, 2027 ;February 27, 2020;710;February 13, 2021;No;Yes;Yes;N.a.;Yes;PFS in ITT;PFS in PD-L1>50%;;;OS in PD-L1>50%;PFS in PD-L1>50%;(OS in ITT);(PFS in ITT);;;Yes;2;4;The publication states that OS and PFS were analysed in both the ITT and PD-L1>50% subpopulation for primary endpoint analysis. The final protocol version only states the PD-L1>50% subpopulation for primary endpoint analysis. The publication mentions that the protocol was amended to change OS from secondary to primary endpoint. This changes was made during recruitment (May 2019).
IMpower-131;NCT02367794;J Thorac Oncol;NSCLC;1L;Atezolizumab + CP;Atezolizumab + CnP;CnP;;;;June 2015 ;March 2017;1021;April 14, 2020;No;Yes;No;Yes;Yes;PFS in ITT (A vs C);PFS in ITT (B vs C);;;PFS in ITT (B vs C);OS in ITT (B vs C);PFS in ITT (A vs C);OS in ITT (A vs C);;;Yes;2;4;OS as primary outcome was added during recruitment of patients. It cannot be deducted when it was decided to only take arms B and C into account for the primary endpoint, as this was never specified in the clinicaltrials.gov registry and no protocol version is available. 
IMpower-132;NCT02657434;J Thorac Oncol;NSCLC;1L;Atezolizumab + PP ;PP;;;;;April 7, 2016 ;May 31, 2017;578;December 14, 2020;No;Yes;No;N.a.;Yes;PFS in ITT;;;;PFS in ITT;OS in ITT;;;;;Yes;1;2;OS as primary outcome was added during recruitment of patients.
Javelin-Lung;NCT02395172;Lancet Oncol;NSCLC;2L;Avelumab;Docetaxel;;;;;March 24, 2015 ;January 23, 2017;792;September 24, 2018;No;No;Yes;N.a.;Yes;OS in ITT;;;;OS in PD-L1 ≥1%;(OS in ITT);;;;;Yes;1;2;Only the final protocol version is available in the supplements. This should contain a list of protocol changes, but the document is cut off before this appendix. In the final protocol version, the primary endpoint is stated to be OS in the PD-L1 positive population, but in the publication, it states that it is OS in both the PD-L1 positive and ITT population. Clinicaltrials.gov also states both populations, and it was changed there after the paper was published. 
OAK;NCT02008227;Lancet;NSCLC;2L;Atezolizumab;Docetaxel;;;;;March 11, 2014 ;April 29, 2015;850;December 12, 2016;No;No;Yes;N.a.;Yes;OS in ITT;;;;OS in PD-L1 ≥1%;OS in ITT;;;;;Yes;1;2;The PD-L1 population for the primary endpoint assessment was added in the clinicaltrials.gov registry after the paper was published. No corroboration in the protocol is possible, because no version is published. 
